id,name,chemicalFormula,chemicalKey,baseId,placeId,validSlots,imageUrl,imageKey,imageFile,spriteFile,rarity,rarityValue,coinCost,diamondCost,topicId,description,funFact,collections
fe_corrosion__toilet,Corrosion,Iron (Fe),fe,fe,toilet,"toilet_faucet, toilet_bathtub, toilet_toilet",/chemcard/fe_corrosion.jpeg,fe_corrosion,fe_corrosion.jpeg,fe_corrosion.jpeg,legendary,5,,107,01a|07c|03d|02d|12c,"Corrosion on iron or steel fixtures, commonly known as rust, is the result of an electrochemical process involving **oxidation**. In the presence of water and oxygen, iron atoms lose electrons (are oxidized) to form iron ions. These ions then react with water and oxygen to form hydrated iron(III) oxide, the reddish-brown rust we see. The simplified overall equation is: 4Fe(s) + 3O₂(g) + 2H₂O(l) → 2Fe₂O₃·H₂O(s). This process weakens the metal and causes it to flake away.","Rusting requires both oxygen and water. A car in a dry desert will rust very slowly, while one in a humid, coastal city will rust quickly.",metals
c2h5oh_handSanitizer__toilet,Hand Sanitizer,Ethanol (C₂H₅OH),c2h5oh,c2h5oh,toilet,"toilet_mirror_cabinet_1, toilet_mirror_cabinet_2, toilet_vanity_top, kitchen_countertop, kitchen_base_cabinet",/chemcard/c2h5oh_handSanitizer.jpeg,c2h5oh_handSanitizer,c2h5oh_handSanitizer.jpeg,c2h5oh_handSanitizer.jpeg,legendary,5,,97,07a|07d,"Hand sanitizer typically contains a high concentration of ethanol (C₂H₅OH), which acts as an antiseptic by denaturing the proteins of microorganisms, effectively killing them. It does not involve a chemical reaction with the germs, but rather a physical disruption of their structure. Ethanol's effectiveness is concentration-dependent; it needs to be above 60% to be reliably effective, as water helps the alcohol penetrate the cell wall.","The ethanol in hand sanitizer is usually denatured, meaning a small amount of a bitter or foul-smelling substance is added to prevent people from drinking it.",flammable|hydrogen_bonded
cr_faucet__toilet,Faucet,Chromium (Cr),cr,cr,toilet,toilet_faucet,/chemcard/cr_faucet.jpeg,cr_faucet,cr_faucet.jpeg,cr_faucet.jpeg,legendary,5,,72,07a|07d|07e|03d|02d|12c,"A shiny, chrome-plated faucet is coated with a thin layer of chromium (Cr). This is done through **electroplating**, an electrolytic process where the faucet (the cathode) is placed in a solution of chromium ions. When an electric current is passed, chromium ions are reduced and deposited as a solid metal onto the faucet's surface. The cathodic reaction is: Cr³⁺(aq) + 3e⁻ → Cr(s). This layer provides a decorative, corrosion-resistant, and hard-wearing surface.","The element chromium gets its name from the Greek word ""chroma,"" meaning color, because many of its compounds are intensely and beautifully colored.",metals
instant_cold_pack__toilet,Cold Pack,Ammonium nitrate (NH₄NO₃),instant,instant,toilet,"toilet_vanity_cabinet, toilet_vanity_top",/chemcard/instant_cold_pack.jpeg,instant_cold_pack,instant_cold_pack.jpeg,instant_cold_pack.jpeg,legendary,5,,71,04d|08a,"An instant cold pack works by triggering an **endothermic** reaction. The pack contains water and a separate compartment with a salt, often ammonium nitrate (NH₄NO₃) or urea. When the pack is squeezed, the inner compartment breaks, and the salt dissolves in the water. This dissolution process absorbs a large amount of heat energy from its surroundings, causing the pack to become cold rapidly. The process for ammonium nitrate is: NH₄NO₃(s) + H₂O → NH₄⁺(aq) + NO₃⁻(aq) (ΔH > 0).","Some modern cold packs use urea as the salt, which is less hazardous than ammonium nitrate but still produces a significant cooling effect.",enthalpy_change
caco3_limescale__toilet,Limescale,Calcium carbonate (CaCO₃),caco3,caco3,toilet,toilet_toilet,/chemcard/caco3_limescale.jpeg,caco3_limescale,caco3_limescale.jpeg,caco3_limescale.jpeg,legendary,5,,75,01c|04a|04d,"Limescale is the hard, chalky deposit primarily composed of calcium carbonate (CaCO₃). It forms when hard water, which contains dissolved calcium ions (Ca²⁺), is heated or evaporates. The heating process can reverse the reaction that initially dissolved the carbonate, causing solid calcium carbonate to precipitate out of the solution: Ca²⁺(aq) + 2HCO₃⁻(aq) → CaCO₃(s) + CO₂(g) + H₂O(l). This is why limescale is commonly found in kettles, pipes, and toilet bowls.","The word ""limescale"" comes from ""lime,"" an old term for calcium oxide, which is derived from heating limestone (calcium carbonate).",basic
ethanol_hand_sanitizer__toilet,Hand Sanitizer,Ethanol (C₂H₅OH),c2h5oh,c2h5oh,toilet,"toilet_vanity_top, toilet_faucet, kitchen_countertop, kitchen_base_cabinet",/chemcard/ethanol_hand_sanitizer.jpeg,ethanol_hand_sanitizer,ethanol_hand_sanitizer.jpeg,ethanol_hand_sanitizer.jpeg,legendary,5,,83,04e|07a|07d,"This is a duplicate of `c2h5oh_handSanitizer__toilet`. Hand sanitizer uses ethanol (C₂H₅OH) to kill germs by **denaturing their proteins**. For it to be effective, it needs to be at the correct concentration (typically 60-80% ethanol in water). The water in the solution plays a crucial role by slowing down the evaporation of the alcohol, allowing it more time to disrupt the microorganism's cell membrane and coagulate its essential proteins.","While ""alcohol-free"" sanitizers exist, often using benzalkonium chloride, studies have shown that alcohol-based ones (with ethanol or isopropanol) are generally more rapidly effective against a broader spectrum of germs.",flammable|hydrogen_bonded
zn_galvanizedTrashCan__kitchen,Galvanized Trash Can,Zinc (Zn),zn,zn,kitchen,kitchen_base_cabinet,/chemcard/zn_galvanizedTrashCan.jpeg,zn_galvanizedTrashCan,zn_galvanizedTrashCan.jpeg,zn_galvanizedTrashCan.jpeg,legendary,5,,84,07a|07d|07c|03d|02d|12c,"A galvanized trash can is made of steel coated with a layer of zinc (Zn) through a process called galvanization. This protects the underlying iron from rusting through **cathodic protection**, or **sacrificial protection**. Zinc is more reactive than iron, so it will oxidize in preference to the iron. If the coating is scratched, the zinc acts as the anode in an electrochemical cell, corroding instead of the iron. The anodic reaction is: Zn(s) → Zn²⁺(aq) + 2e⁻.","The name ""galvanizing"" comes from the Italian scientist Luigi Galvani, whose experiments with frogs' legs in the late 1700s led to the discovery of the electrochemical principles behind the process.",metals
h2o_waterPitcher__kitchen,Water Pitcher,Water (H₂O),h2o,h2o,kitchen,"kitchen_countertop, kitchen_dinette, kitchen_fridge",/chemcard/h2o_waterPitcher.jpeg,h2o_waterPitcher,h2o_waterPitcher.jpeg,h2o_waterPitcher.jpeg,uncommon,2,,28,04b|08a|10a|06c,"A water pitcher holds water (H₂O), the universal solvent. Its unique chemical properties, such as high specific heat capacity and its ability to form hydrogen bonds, make it essential for life. A key equilibrium in water is its autoionization, where two water molecules react to form hydronium and hydroxide ions: 2H₂O(l) ⇌ H₃O⁺(aq) + OH⁻(aq). This equilibrium is central to the concept of pH.","Water is one of the few substances that is less dense as a solid (ice) than as a liquid, which is why ice floats in your pitcher of water.",hydrogen_bonded|equilibrium|greenhouse_gas
fe_spoon__kitchen,Spoon,Iron (Fe),fe,fe,kitchen,"kitchen_cutlery_drawer, kitchen_countertop, kitchen_dinette",/chemcard/fe_spoon.jpeg,fe_spoon,fe_spoon.jpeg,fe_spoon.jpeg,epic,4,,87,01a|07c|03d|02d|12c,"A spoon made of iron (Fe), or more commonly steel (an alloy of iron with carbon and other elements), is used for eating and serving food. While iron is strong, it is prone to **oxidation** (rusting) in the presence of moisture and oxygen. The overall reaction for rust formation is: 4Fe(s) + 3O₂(g) + 2H₂O(l) → 2Fe₂O₃·H₂O(s). To prevent this, iron spoons are often coated with another material like chromium (stainless steel) or a protective layer of tin or enamel.","Iron is the most abundant element by mass on Earth, making up a large part of the planet's core.",metals
cr_spoon__kitchen,Spoon,Chromium (Cr),cr,cr,kitchen,"kitchen_cutlery_drawer, kitchen_countertop, kitchen_dinette",/chemcard/cr_spoon.jpeg,cr_spoon,cr_spoon.jpeg,cr_spoon.jpeg,rare,3,,40,01a|03d|02d|12c,"This spoon is likely made of stainless steel, which contains chromium (Cr). The chromium is what makes it ""stainless."" It forms a thin, transparent, and self-healing layer of chromium(III) oxide (Cr₂O₃) on the surface through a process called **passivation**. This layer is inert and prevents the iron in the steel from coming into contact with oxygen and water, thus preventing rust. The formation reaction is: 4Cr(s) + 3O₂(g) → 2Cr₂O₃(s).","Chromium is what gives rubies their red color. The gemstone corundum (aluminum oxide) is normally colorless, but when a tiny amount of chromium replaces some aluminum atoms, the crystal becomes deep red.",metals
polypropylene_foodContainer__kitchen,Food Container,Polypropylene (PP),polypropylene,polypropylene,kitchen,"kitchen_base_cabinet, kitchen_pantry_1, kitchen_pantry_2, kitchen_fridge, kitchen_countertop",/chemcard/polypropylene_foodContainer.jpeg,polypropylene_foodContainer,polypropylene_foodContainer.jpeg,polypropylene_foodContainer.jpeg,legendary,5,,105,05d,"Polypropylene (PP) is a common thermoplastic polymer used for food containers because of its high melting point, chemical resistance, and durability. It is produced via **chain-growth polymerization** from the propylene monomer. The reaction is an addition polymerization similar to polyethylene: n CH₂=CH–CH₃ → [−CH₂−CH(CH₃)−]ₙ. This structure gives it the flexibility and strength needed for reusable food storage.","Polypropylene has a ""memory,"" meaning it can be bent repeatedly without breaking. This is why it's used for living hinges, like the ones on a bottle cap.",polymer
polyethene_foodContainers__kitchen,Food Containers,Polyethene (PE),polyethene,polyethene,kitchen,"kitchen_base_cabinet, kitchen_pantry_1, kitchen_pantry_2, kitchen_fridge, kitchen_countertop",/chemcard/polyethene_foodContainers.jpeg,polyethene_foodContainers,polyethene_foodContainers.jpeg,polyethene_foodContainers.jpeg,legendary,5,,82,05a|05d,"These food containers are made from polyethylene (PE), a flexible and inexpensive plastic. It's formed through the **addition polymerization** of ethene. There are different types, like high-density polyethylene (HDPE) for stiffer containers and low-density polyethylene (LDPE) for more flexible ones. The fundamental reaction is: n CH₂=CH₂ → [−CH₂−CH₂−]ₙ. This process creates long, inert hydrocarbon chains that are safe for food contact.",Recycling symbol #2 (HDPE) and #4 (LDPE) both refer to different densities of polyethylene.,polymer
ch4_cookingGas__kitchen,Cooking Gas,Methane (CH₄),ch4,ch4,kitchen,kitchen_stove_oven,/chemcard/ch4_cookingGas.jpeg,ch4_cookingGas,ch4_cookingGas.jpeg,ch4_cookingGas.jpeg,legendary,5,,115,01a|07c|08a|05a,"Methane (CH₄) is the primary component of natural gas, used for cooking on gas stoves. When ignited, it undergoes a **combustion** reaction with oxygen from the air. This is a highly exothermic **redox** reaction, producing heat, carbon dioxide, and water vapor. The balanced equation is: CH₄(g) + 2O₂(g) → CO₂(g) + 2H₂O(g) (ΔH = -890 kJ/mol). The blue flame seen on a gas stove indicates complete combustion with sufficient oxygen.","Before natural gas was widely available, town gas was used. It was a mixture of hydrogen and carbon monoxide, produced from coal, and was highly toxic due to the carbon monoxide content.",toxic|flammable|energy_generator|greenhouse_gas|enthalpy_change
h2_cookingGas__kitchen,Cooking Gas,Hydrogen (H₂),h2,h2,kitchen,kitchen_stove_oven,/chemcard/ch4_cookingGas.jpeg,ch4_cookingGas,ch4_cookingGas.jpeg,ch4_cookingGas.jpeg,legendary,5,,111,01a|08a,"This refers to cooking gas that is pure hydrogen (H₂). While not common today, hydrogen is a clean fuel that undergoes **combustion** with oxygen to produce only water vapor as a byproduct. The highly exothermic reaction is: 2H₂(g) + O₂(g) → 2H₂O(g) (ΔH = -286 kJ/mol per mole of H₂). Its use is being explored as a sustainable energy source.","The Hindenburg disaster, often associated with hydrogen's danger, was actually the outer fabric coating (which was similar to rocket fuel) that burned, not the hydrogen itself, which burned invisibly above the airship.",flammable|energy_generator|enthalpy_change
nacl_table_salt__kitchen,Table Salt,Sodium chloride (NaCl),nacl,nacl,kitchen,"kitchen_pantry_1, kitchen_pantry_2, kitchen_countertop, kitchen_dinette",/chemcard/nacl_table_salt.jpeg,nacl_table_salt,nacl_table_salt.jpeg,nacl_table_salt.jpeg,common,1,,12,04d,"Table salt is primarily sodium chloride (NaCl), an ionic compound essential for human life and a fundamental seasoning. Its production often involves the evaporation of brine, reversing the dissolution process: Na⁺(aq) + Cl⁻(aq) → NaCl(s). Table salt often contains additives like iodine (as potassium iodide) to prevent iodine deficiency, and anti-caking agents to keep it free-flowing.","The word ""salary"" comes from the Latin word ""salarium,"" which was an allowance paid to Roman soldiers to buy salt, a valuable and essential commodity.",
cao_foodWarmer__kitchen,Food Warmer,Calcium oxide (CaO),cao,cao,kitchen,"kitchen_countertop, kitchen_dinette",/chemcard/cao_foodWarmer.jpeg,cao_foodWarmer,cao_foodWarmer.jpeg,cao_foodWarmer.jpeg,epic,4,,75,04e|08a,"A self-heating food warmer uses the exothermic reaction of calcium oxide (CaO), or quicklime, with water. When the pack is activated, water comes into contact with the CaO, initiating a vigorous **hydration** reaction. This produces calcium hydroxide and a significant amount of heat. The reaction is: CaO(s) + H₂O(l) → Ca(OH)₂(aq) (ΔH = -65.2 kJ/mol). The heat generated is then transferred to the food.","This same reaction was historically used in ""self-heating"" cans of coffee or hot chocolate, though they were often unreliable.",energy_generator|enthalpy_change
h2o_iceCube__kitchen,Ice Cube,Water (H₂O),h2o,h2o,kitchen,kitchen_fridge,/chemcard/h2o_iceCube.jpeg,h2o_iceCube,h2o_iceCube.jpeg,h2o_iceCube.jpeg,common,1,,9,06c,"An ice cube is the solid, crystalline form of water (H₂O). It forms when liquid water is cooled below its freezing point (0°C or 32°F at standard pressure). This is a **phase change** (solidification), represented as: H₂O(l) → H₂O(s). During this process, the water molecules arrange themselves into a hexagonal crystal lattice, which is less dense than liquid water, causing the ice to expand and float.",The expansion of water upon freezing is why ice cubes float in your drink and why water pipes can burst in winter.,hydrogen_bonded|greenhouse_gas
fe_castIronPan__kitchen,Cast Iron Pan,Iron (Fe),fe,fe,kitchen,"kitchen_stove_oven, kitchen_countertop",/chemcard/fe_castIronPan.jpeg,fe_castIronPan,fe_castIronPan.jpeg,fe_castIronPan.jpeg,epic,4,,77,07c|08a|02d|12c,"A cast iron pan is made from an alloy of iron (Fe) and carbon. It is prized for its excellent heat retention and durability. However, it is highly susceptible to **oxidation** (rusting) if not properly maintained. The rusting process is: 4Fe(s) + 3O₂(g) + 2H₂O(l) → 2Fe₂O₃·H₂O(s). To prevent this, cast iron pans are ""seasoned"" by baking a thin layer of oil onto the surface, which polymerizes to form a protective, non-stick coating.",Cast iron pans can last for generations if cared for properly. Some of the oldest pans in existence are over a century old and still in daily use.,metals
ch3cooh_vinegar__kitchen,Vinegar,Acetic acid (CH₃COOH),ch3cooh,ch3cooh,kitchen,"kitchen_pantry_1, kitchen_pantry_2, kitchen_countertop, kitchen_dinette",/chemcard/ch3cooh_vinegar.jpeg,ch3cooh_vinegar,ch3cooh_vinegar.jpeg,ch3cooh_vinegar.jpeg,common,1,,12,01a|04a|04e|07c,"Vinegar is a dilute solution of acetic acid (CH₃COOH) in water, typically around 4-8%. It is produced by a two-step fermentation process. First, sugars are converted to ethanol by yeast (fermentation). Then, acetic acid bacteria (Acetobacter) carry out an **oxidation** reaction, converting the ethanol to acetic acid: C₂H₅OH(aq) + O₂(g) → CH₃COOH(aq) + H₂O(l). This process is why wine or cider left exposed to air will eventually turn sour and become vinegar.","The word ""vinegar"" comes from the Old French ""vin aigre,"" meaning ""sour wine.""",acidic|hydrogen_bonded
c2h5oh_beer__kitchen,Beer,Ethanol (C₂H₅OH),c2h5oh,c2h5oh,kitchen,"kitchen_fridge, kitchen_pantry_1, kitchen_pantry_2, kitchen_dinette",/chemcard/c2h5oh_beer.jpeg,c2h5oh_beer,c2h5oh_beer.jpeg,c2h5oh_beer.jpeg,epic,4,,66,01a,Beer is an alcoholic beverage where ethanol (C₂H₅OH) is produced by yeast during fermentation. The yeast metabolizes sugars (like maltose from barley) in the absence of oxygen. This is an anaerobic process where the sugars are converted into ethanol and carbon dioxide. The simplified overall equation for glucose fermentation is: C₆H₁₂O₆(aq) → 2C₂H₅OH(aq) + 2CO₂(g). This reaction is also known as **alcoholic fermentation**.,"The bubbles in beer are carbon dioxide (CO₂) produced during fermentation. In some beers, additional CO₂ is added later for extra fizz.",flammable|hydrogen_bonded
egg_carton__kitchen,Carton,"""Mole""",egg,egg,kitchen,"kitchen_fridge, kitchen_countertop",/chemcard/egg_carton.jpeg,egg_carton,egg_carton.jpeg,egg_carton.jpeg,epic,4,,49,,"An egg carton holds a dozen eggs, which is a perfect analogy for the mole in chemistry—often called ""the chemist's dozen."" Just as a dozen represents 12 of something, a mole represents 6.022 × 10²³ particles (Avogadro's number) of a substance. This enormous number allows chemists to count atoms and molecules by weighing them. For example, one mole of carbon atoms has a mass of 12 grams. While the eggs themselves are a complex biological system containing proteins and fats, the carton serves as a tangible representation of this fundamental counting unit in chemistry.","The name ""mole"" was popularized by the Nobel Prize-winning chemist Wilhelm Ostwald, who derived it from the Latin word ""moles,"" meaning a large mass or heap—fitting for a number so vast it would take the entire population of Earth counting 24/7 over a million years to reach it!",
cu_cookware__kitchen,Cookware,Copper (Cu),cu,cu,kitchen,"kitchen_stove_oven, kitchen_countertop",/chemcard/cu_cookware.jpeg,cu_cookware,cu_cookware.jpeg,cu_cookware.jpeg,epic,4,,59,04a|08a|02d|12c,"Copper (Cu) cookware is prized by chefs for its excellent and even heat conductivity. However, copper can react with acidic foods, leading to the formation of toxic copper salts. For this reason, copper cookware is almost always lined with a non-reactive metal like tin or stainless steel. The unwanted reaction with an acid (like in tomatoes) can be represented as: Cu(s) + 2H⁺(aq) → Cu²⁺(aq) + H₂(g). The copper ions (Cu²⁺) are what can be toxic and also cause a metallic taste.","The Statue of Liberty is made of copper and has turned green due to the formation of a protective layer of verdigris, a mixture of copper carbonates, sulfates, and hydroxides.",acidic|metals
co2_soda__kitchen,Soda,Carbon dioxide (CO₂),co2,co2,kitchen,"kitchen_fridge, kitchen_pantry_1, kitchen_pantry_2, kitchen_dinette",/chemcard/co2_soda.jpeg,co2_soda,co2_soda.jpeg,co2_soda.jpeg,epic,4,,76,04a|10a,"The ""fizz"" in soda comes from dissolved carbon dioxide (CO₂) gas. This is a physical process called **carbonation**, where CO₂ is forced into the liquid under pressure. In the water, some of the CO₂ reacts to form carbonic acid, which gives soda its slight tang. The equilibrium is: CO₂(g) + H₂O(l) ⇌ H₂CO₃(aq). When you open the bottle, you release the pressure, shifting the equilibrium to the left, and the CO₂ comes out of solution as bubbles.","The world's first marketed soft drink was ""soft"" because it didn't contain alcohol. It was carbonated water, sold in the late 18th century as a therapeutic beverage.",acidic|equilibrium|greenhouse_gas
mgoh2_tablets__kitchen,Antacid Tablet,Magnesium hydroxide (Mg(OH)₂),mgoh2,mgoh2,kitchen,"kitchen_base_cabinet, kitchen_countertop",/chemcard/antacid_tablets.jpeg,antacid_tablets,antacid_tablets.jpeg,antacid_tablets.jpeg,epic,4,,70,04a|04d,"These tablets contain magnesium hydroxide (Mg(OH)₂), a common antacid used to relieve heartburn and indigestion. It works by neutralizing excess stomach acid (hydrochloric acid, HCl) through an **acid-base** reaction. This is a neutralization reaction, producing a salt (magnesium chloride) and water. The equation is: Mg(OH)₂(s) + 2HCl(aq) → MgCl₂(aq) + 2H₂O(l).","Magnesium hydroxide is also known as ""milk of magnesia"" when suspended in water. It's also a mild laxative, which is why some antacids combine it with aluminum hydroxide, which has the opposite effect.",basic
al2o3_tablets__kitchen,Antacid Tablet,Aluminium hydroxide (Al(OH)₃),aloh3,aloh3,kitchen,"kitchen_base_cabinet, kitchen_countertop",/chemcard/antacid_tablets.jpeg,antacid_tablets,antacid_tablets.jpeg,antacid_tablets.jpeg,epic,4,,66,04a|02d,"These tablets contain aluminum hydroxide (Al(OH)₃). It is used as an antacid to neutralize stomach acid. It works via a similar **neutralization** reaction, reacting with hydrochloric acid (HCl) to form aluminum chloride and water. The balanced equation is: Al(OH)₃(s) + 3HCl(aq) → AlCl₃(aq) + 3H₂O(l). It is often combined with magnesium hydroxide to balance the constipating effect of aluminum with the laxative effect of magnesium.","The aluminum in these tablets is not significantly absorbed by the body, but it can bind to phosphate in the gut, which is why they are sometimes used to treat high phosphate levels in kidney disease.",basic
